,ImmuneSignature,StromalSignature,ESTIMATEScore
TCGA-F4-6704-01,2651.292558979616,3618.03994739627,6269.332506375886
TCGA-F4-6805-01,3155.9200175024744,3047.9046940898643,6203.824711592339
TCGA-F4-6806-01,1904.7873486511799,901.1859046186291,2805.973253269809
TCGA-F4-6807-01,3658.8516991750366,3543.1249114825223,7201.976610657559
TCGA-F4-6808-01,729.1378781033127,-560.4756441752725,168.66223392804022
TCGA-F4-6809-01,2860.9747162853073,2344.684963519496,5205.659679804803
TCGA-F4-6854-01,1919.9533332834399,1523.102302912408,3443.055636195848
TCGA-F4-6855-01,2105.3234044162673,3299.1778338977783,5404.501238314046
TCGA-F4-6856-01,1737.889862564989,263.1702350472988,2001.0600976122878
TCGA-F4-6857-01,5247.966594656427,2952.164623300867,8200.131217957294
TCGA-F5-6464-01,3774.1316191260084,3988.913206022309,7763.044825148318
TCGA-F5-6465-01,3468.059972473362,3194.7142541312533,6662.774226604615
TCGA-F5-6571-01,3370.789501766023,2683.2026734650135,6053.9921752310365
