,ImmuneSignature,StromalSignature,ESTIMATEScore
GSM437246,3597.234656210365,1593.2108757630067,5190.4455319733715
GSM437247,3450.952490872105,3228.7403163457857,6679.692807217891
GSM437248,2558.4822664927215,778.8099274564865,3337.292193949208
GSM437249,3999.57535773555,1806.6034352534098,5806.17879298896
GSM437250,5502.734395264395,4286.817462225195,9789.55185748959
GSM437251,4909.861378141493,3886.5104622176877,8796.371840359181
GSM437252,4218.993556786723,1167.7912985253533,5386.784855312077
GSM437253,2284.046254937004,937.4312330195698,3221.477487956574
GSM437254,6101.48280011464,2988.905604240792,9090.388404355432
GSM437255,4875.575154964154,1457.1027290748098,6332.677884038963
GSM437256,4848.605580528776,1909.9523984436673,6758.557978972443
GSM437257,5041.5861494335,4265.295229706462,9306.881379139963
GSM437258,4755.438971083911,1991.5068569326268,6746.945828016538
GSM437259,4189.8412413549595,2246.6850183090683,6436.526259664028
GSM437260,5309.906296976345,2470.0692292024287,7779.975526178774
GSM437261,4251.6874898259775,1530.4157674234302,5782.103257249408
GSM437262,3793.895770224157,3196.713849259915,6990.609619484072
GSM437263,4771.320193214517,3813.7280586435463,8585.048251858063
GSM437264,3192.5936095977195,1695.6585093687281,4888.252118966448
GSM437265,4834.333911809423,4082.082178228775,8916.416090038198
GSM437266,5912.079840508613,2878.128779214687,8790.2086197233
GSM437267,4237.893179837305,2665.7352699033145,6903.6284497406195
GSM437268,3313.0999873293804,802.8761187423916,4115.976106071772
