TF,n,spearman_rho,p,is_signature_gene,p_fdr_bh,significant_fdr01
SON,380,0.3404255578650445,9.168436576027344e-12,False,6.790784602722645e-11,True
MGA,380,0.3391738586621761,1.1034841673345245e-11,False,8.134254719208781e-11,True
PURA,380,0.33845257205023094,1.2273631721101141e-11,False,9.004541186855243e-11,True
SP4,380,0.33820686886214835,1.2725825441220006e-11,False,9.292253671230456e-11,True
GLIS3,380,0.33784747360474,1.341666324929403e-11,False,9.750701741740451e-11,True
KDM5B,380,0.33776719387806825,1.3575905934041295e-11,False,9.820328217708377e-11,True
THAP4,380,-0.3375638741420151,1.3987503684245373e-11,False,1.0071002652656668e-10,True
FOXP2,380,0.33676993893337376,1.571451045514614e-11,False,1.1262065826188068e-10,True
MBNL2,380,0.33659406078706994,1.6124336565182618e-11,False,1.1502522121153316e-10,True
SP7,380,0.3354460554600798,1.906730776686856e-11,False,1.3539537808767215e-10,True
RFX8,380,0.3348794847685641,2.0706694132243432e-11,False,1.4636512564709055e-10,True
ZNF496,380,0.33461452687791443,2.15197671716089e-11,False,1.5142090718932083e-10,True
HOXD10,380,0.3342200398665703,2.2788297672872453e-11,False,1.5962119817921516e-10,True
ZBTB34,380,0.3324077338787189,2.9616338537308165e-11,False,2.0637864943888583e-10,True
SRCAP,380,0.33238109733756777,2.97302576388059e-11,False,2.0637864943888583e-10,True
BAZ2B,380,0.3322179978009368,3.0437174389641435e-11,False,2.1034261587127206e-10,True
ZNF175,380,0.3319951710474665,3.142950648098672e-11,False,2.1623500458918863e-10,True
ESRRA,380,-0.3317666332802475,3.2480013581368295e-11,False,2.2164649503090135e-10,True
TEAD3,380,0.3317618365140146,3.2502425304918996e-11,False,2.2164649503090135e-10,True
FOXL1,380,0.3316353858820086,3.3098701719164693e-11,False,2.2472276430380237e-10,True
KLF2,380,0.33012515009166865,4.109847700023392e-11,False,2.7781852574830617e-10,True
KLF9,380,0.32722005215334177,6.211925734478816e-11,False,4.180896103031829e-10,True
SATB1,380,0.3270396065990243,6.372455974792296e-11,False,4.2703730947958766e-10,True
L3MBTL3,380,0.326592937389981,6.787408274196892e-11,False,4.528839658817581e-10,True
FOXJ2,380,0.3264810113638518,6.895442137929708e-11,False,4.581177866744716e-10,True
BHLHE41,380,0.32636057884412084,7.013557389805663e-11,False,4.6397379655637465e-10,True
ZNF540,380,0.3255562584098535,7.854490585270294e-11,False,5.173936777020602e-10,True
PHF1,380,0.3254751131285383,7.944591372668195e-11,False,5.211113324106087e-10,True
SPI1,380,0.32480161176357686,8.73230501275046e-11,False,5.703632134910427e-10,True
HIVEP3,380,0.32397945208573564,9.797411877119106e-11,False,6.372434279739654e-10,True
ETV7,380,-0.3232861436808274,1.0793029598387798e-10,False,6.990631723139878e-10,True
ZNF772,380,0.32165107152233535,1.354711491006467e-10,False,8.737889116991712e-10,True
ZNF582,380,0.32161454275902746,1.3615862232126063e-10,False,8.745790346610434e-10,True
LYL1,380,0.32149040284174857,1.385204168455743e-10,False,8.860727490783017e-10,True
RARA,380,0.32105583173469804,1.4710655708738687e-10,False,9.371232525566866e-10,True
GSC,380,0.3206817262402549,1.5491116566108782e-10,False,9.82797067390836e-10,True
ZNF570,380,0.32004187524716265,1.6920355470716163e-10,False,1.0690902150476986e-09,True
ZNF699,380,0.3199855969082026,1.7052034307610986e-10,False,1.0730304515521059e-09,True
ZNF827,380,0.31965696339196115,1.7841112452029248e-10,False,1.118139355293169e-09,True
IRF1,380,-0.3193787793428728,1.8536731396146485e-10,False,1.1570508145659178e-09,True
ZNF225,380,0.31880320384975497,2.0060804391252136e-10,False,1.2471536223959158e-09,True
OSR1,380,0.3177176628553823,2.3273864862538707e-10,False,1.4411177122883966e-09,True
HOXC5,380,0.3168737466109775,2.611249964785237e-10,False,1.6104442013894612e-09,True
ZNF610,380,0.31607540252535327,2.910620301591808e-10,False,1.7879524709778247e-09,True
BACH1,380,0.3151073840155293,3.318589679601202e-10,False,2.030504673526743e-09,True
RBPJ,380,0.3143518610920375,3.6751391721223005e-10,False,2.2398092277343784e-09,True
ZSCAN2,380,0.31408856286717685,3.8079392496088097e-10,False,2.311643120938995e-09,True
NKX2-3,380,0.3133084413845106,4.2293895015918653e-10,False,2.557458964243831e-09,True
ZNF134,380,0.3127504199305709,4.5583244861125016e-10,False,2.745636694358814e-09,True
NCOA1,380,0.3126641539917405,4.611345955769608e-10,False,2.766807573461765e-09,True
ZNF319,380,0.31123826159170104,5.579688248246641e-10,False,3.3348870302261777e-09,True
ISL2,380,0.3103008553066503,6.321091482856008e-10,False,3.763480621331193e-09,True
LHX6,380,0.3101696830671997,6.432186971833407e-10,False,3.814952272949469e-09,True
ZNF695,380,-0.3097858682845449,6.768265390222823e-10,False,3.998959856513331e-09,True
ZNF331,380,0.3096191984856892,6.919463299088875e-10,False,4.07274874030022e-09,True
NR2C2,380,0.30903977348987677,7.471067782525952e-10,False,4.380762472481126e-09,True
BHLHE22,380,0.3086536881801861,7.862087827034747e-10,False,4.592646021226335e-09,True
FOXC1,380,0.30780995582093423,8.787046958016909e-10,False,5.113664921432396e-09,True
POU2F2,380,0.30740558496988396,9.267006736649536e-10,False,5.372781433832764e-09,True
EPAS1,380,0.3054596837894349,1.1956178480252653e-09,False,6.9060314505339956e-09,True
BATF2,380,-0.3050962697763668,1.2536253251952009e-09,False,7.214171016364947e-09,True
MYT1L,380,0.3049857196639599,1.2718068151058741e-09,False,7.291692406607011e-09,True
POU3F4,380,0.30475766660283826,1.3101256775759279e-09,False,7.48366992209423e-09,True
RUNX3,380,0.3045957806769802,1.3380045630439355e-09,False,7.61482008673534e-09,True
ZNF528,380,0.3044979846123538,1.3551244971627895e-09,False,7.68400264325274e-09,True
TIGD2,380,-0.30444758572695996,1.3640300468716707e-09,False,7.70627194363995e-09,True
NME2,380,-0.3036200085386349,1.518652726917463e-09,False,8.54863425915721e-09,True
VEZF1,380,0.3034330100073349,1.5558785936229472e-09,False,8.726449503363486e-09,True
ZNF788,380,0.30278781606972566,1.691241510089377e-09,False,9.451414648441716e-09,True
NFIC,380,0.30233814732467507,1.7922708639964855e-09,False,9.979983084412084e-09,True
ETV5,380,0.3018029836778875,1.920155534580885e-09,False,1.0653766191868137e-08,True
ATF6,380,0.3013284447617647,2.0409264108829254e-09,False,1.1283407443024173e-08,True
GATAD2B,380,0.3002468607177648,2.344377546963175e-09,False,1.2901712927599068e-08,True
NR2F6,380,-0.30022709253739205,2.3503120449502176e-09,False,1.2901712927599068e-08,True
DBX2,380,0.3001899690187182,2.361496102440249e-09,False,1.2917300235256203e-08,True
SOHLH2,380,0.3001361197707209,2.377810867151432e-09,False,1.2960743740670481e-08,True
NFATC3,380,0.29885732781200075,2.799006998323532e-09,False,1.5203027485630974e-08,True
CHCHD3,380,-0.29857773994469033,2.9003007251203976e-09,False,1.5698131197504808e-08,True
NFATC2,380,0.2984896229371853,2.9329556270076414e-09,False,1.5819565542187555e-08,True
ZBTB40,380,0.29804273235285184,3.1041342568925484e-09,False,1.6684721630797447e-08,True
ZNF787,380,-0.29779759623672275,3.2021067324495307e-09,False,1.7151768933674305e-08,True
ZSCAN1,380,0.29696318689722556,3.5585818204856623e-09,False,1.8995464338316567e-08,True
ZNF804A,380,0.2966903486444496,3.6832774401929513e-09,False,1.9593517104531577e-08,True
SP3,380,0.29632279297737824,3.857977667322879e-09,False,2.0452566537725402e-08,True
TFE3,380,0.2962291962402358,3.90373202657401e-09,False,2.0601593736170993e-08,True
