sample,cnv,expr_log2,cohort
TCGA-DM-A1D8-01,-2,7.187,COAD
TCGA-DM-A1D9-01,-1,8.476,COAD
TCGA-DM-A1DA-01,-1,6.899,COAD
TCGA-DM-A1DB-01,-1,7.356,COAD
TCGA-DM-A1HA-01,-1,9.508,COAD
TCGA-DM-A1HB-01,0,7.662,COAD
TCGA-DM-A280-01,0,6.874,COAD
TCGA-DM-A282-01,-1,8.778,COAD
TCGA-DM-A285-01,-2,9.334,COAD
TCGA-DM-A288-01,-1,7.093,COAD
TCGA-DM-A28A-01,-1,9.567,COAD
TCGA-DM-A28C-01,0,8.324,COAD
TCGA-DM-A28E-01,-1,6.673,COAD
TCGA-DM-A28F-01,-1,7.985,COAD
TCGA-DM-A28G-01,0,8.863,COAD
TCGA-DM-A28H-01,-1,7.281,COAD
TCGA-DM-A28K-01,-2,7.986,COAD
TCGA-DM-A28M-01,-1,6.919,COAD
TCGA-F4-6459-01,-1,9.618,COAD
TCGA-F4-6460-01,-1,9.271,COAD
TCGA-F4-6461-01,-1,9.029,COAD
TCGA-F4-6463-01,0,9.807,COAD
TCGA-F4-6569-01,-1,10.3,COAD
TCGA-F4-6570-01,0,9.839,COAD
TCGA-F4-6703-01,0,10.5,COAD
TCGA-F4-6704-01,-1,10.01,COAD
TCGA-F4-6805-01,-1,10.06,COAD
TCGA-F4-6806-01,-1,9.133,COAD
TCGA-F4-6807-01,-1,9.582,COAD
TCGA-F4-6808-01,-1,8.11,COAD
TCGA-F4-6809-01,-1,9.223,COAD
TCGA-F4-6854-01,-1,8.606,COAD
TCGA-F4-6855-01,-1,10.07,COAD
TCGA-F4-6856-01,0,7.604,COAD
TCGA-G4-6293-01,0,8.757,COAD
TCGA-G4-6294-01,-1,8.03,COAD
TCGA-G4-6295-01,-1,9.509,COAD
TCGA-G4-6297-01,-1,9.98,COAD
TCGA-G4-6298-01,-1,9.997,COAD
TCGA-G4-6299-01,-1,9.911,COAD
TCGA-G4-6302-01,0,10.66,COAD
TCGA-G4-6303-01,-1,8.637,COAD
TCGA-G4-6304-01,0,7.924,COAD
TCGA-G4-6306-01,-1,6.531,COAD
TCGA-G4-6307-01,-1,7.279,COAD
TCGA-G4-6309-01,0,7.674,COAD
TCGA-G4-6310-01,-1,9.385,COAD
TCGA-G4-6311-01,-1,9.4,COAD
TCGA-G4-6314-01,-1,9.968,COAD
TCGA-G4-6315-01,-1,7.169,COAD
TCGA-G4-6317-01,-1,6.044,COAD
TCGA-G4-6320-01,0,7.034,COAD
TCGA-G4-6321-01,0,6.035,COAD
TCGA-G4-6322-01,0,7.756,COAD
TCGA-G4-6323-01,0,8.492,COAD
TCGA-G4-6586-01,0,7.549,COAD
TCGA-G4-6588-01,0,7.737,COAD
TCGA-G4-6625-01,-1,8.472,COAD
TCGA-G4-6626-01,-1,7.234,COAD
TCGA-G4-6627-01,-1,9.613,COAD
TCGA-G4-6628-01,0,8.976,COAD
TCGA-NH-A50T-01,-1,7.742,COAD
TCGA-NH-A50U-01,-1,9.221,COAD
TCGA-NH-A50V-01,-1,9.198,COAD
TCGA-NH-A5IV-01,0,7.76,COAD
TCGA-NH-A6GA-01,-1,10.03,COAD
TCGA-NH-A6GB-01,0,8.639,COAD
