,Bcell_TLS,CD8T,Endothelial,Epithelial,Fibroblast,Macrophage_TAM,Pericyte
GSM437198,0.06230925215236385,0.07193545772716203,0.1769090756343209,0.2654279898024082,0.23537891451681067,0.1335331083336711,0.05450620183326324
GSM437199,0.05094228331225403,0.17624449799769185,0.20921567751060965,0.18701791757479616,0.15416370903645946,0.1319334925783514,0.09048242198983747
GSM437200,0.055093820800633644,0.020827374887666426,0.14963655300596063,0.35846772897416895,0.20710873994657059,0.1123546389335165,0.09651114345148326
GSM437201,0.07284353551339601,0.029161227729746907,0.1920148379594958,0.12726319576872924,0.27735873930685123,0.2240802120203381,0.07727825170144258
GSM437202,0.06308257563485604,0.09481522375531477,0.13236396028228195,0.3632030924604908,0.23024009999126707,0.09210912580327665,0.024185922072512623
GSM437203,0.07690251961196337,0.1937589602682657,0.12322044550707996,0.18419548925463297,0.12194282998024311,0.283371092638632,0.016608662739182895
GSM437204,0.020965759956058438,0.03252936681738584,0.33380519692153626,0.0,0.17335030892123543,0.17317163882838346,0.2661777285554007
GSM437205,0.09147661349383829,0.12031397905494282,0.20055940843458347,0.2619155756907538,0.16938637169856893,0.10764095792088761,0.04870709370642508
GSM437206,0.09640341284197676,0.05807535111248547,0.15342830032055493,0.4158087675915436,0.15542317110006504,0.041385185173040545,0.07947581186033374
GSM437207,0.11673489155849881,0.03677706412976652,0.14560452568515533,0.3729324707027144,0.2019474098047803,0.07901512922579008,0.04698850889329464
GSM437208,0.16675492176115464,0.06388915259309856,0.11476165004174713,0.42355963475964375,0.10408384071475466,0.0651141862648546,0.06183661386474679
GSM437209,0.06026990517257471,0.29228599628370927,0.09579295495331416,0.19826598551027513,0.12717839961090746,0.2073453320259772,0.018861426443242096
GSM437210,0.07868479353461733,0.05336503603399064,0.2018790817965673,0.34653273849245236,0.14894996339658648,0.12293993532812994,0.04764845141765591
GSM437211,0.08755045138237465,0.15730091036557067,0.11536110867380528,0.3019278085434918,0.1269581610388369,0.16711188928906984,0.043789670706850914
GSM437212,0.10596858638275146,0.1394608232327079,0.11766754634673024,0.3321277585998852,0.08893881008395879,0.19685423758357518,0.01898223777039121
GSM437213,0.14587832535994524,0.09425185280497252,0.1935232258154074,0.3585766942291813,0.1152830069810051,0.07649226649955727,0.015994628309931265
GSM437214,0.10636021312369986,0.11619493121720316,0.13262433060370776,0.26621769893035774,0.22496249236023502,0.09961821275731168,0.05402212100748484
GSM437215,0.11051407549460389,0.13971534868616955,0.20450554178785466,0.25165920081680027,0.13052185777908065,0.12770382438827368,0.035380151047217236
GSM437216,0.11177779834677898,0.10275552871309258,0.06990967214353219,0.5430497569680487,0.08948923735811934,0.029403469073291336,0.05361453739713683
GSM437217,0.20724702378658832,0.10697881168506973,0.12643907041780053,0.3796511518361398,0.10796201889486957,0.025335212212105003,0.04638671116742716
GSM437218,0.09838819776772194,0.08753617296064681,0.15813377679983362,0.45831134735984397,0.0733208413147733,0.08738344504633476,0.036926218750845584
GSM437219,0.10072023370908784,0.20566798176092224,0.16286048459137173,0.32311363015706046,0.022374231365926214,0.1408660015639422,0.044397436851689454
GSM437220,0.09156266690308633,0.1867248568333194,0.1355279557149046,0.24988991837283397,0.09822477360252058,0.1993526809541906,0.03871714761914455
GSM437221,0.1260464385350018,0.1483440001246936,0.11752712234591604,0.3199407967324277,0.11129744905265243,0.0946901800634109,0.08215401314589751
GSM437222,0.05796413657260303,0.1022764054914983,0.18699724966537168,0.15894008266224144,0.17304436201305434,0.25263050699010736,0.06814725660512366
GSM437223,0.09176036723304067,0.05208538775232324,0.12001550990025717,0.2732221618577341,0.21771146478771933,0.23131674208786823,0.013888366381057279
GSM437224,0.10873543508292847,0.06706287523135306,0.15409569515886865,0.3935077190325105,0.14111290389081185,0.08709498480047452,0.048390386803053
GSM437225,0.049324166117863784,0.17518524675821753,0.15636373461845085,0.24008288493606342,0.11614208011703207,0.2071149593129978,0.05578692813937459
